,title,nationality,box_office_first_week,press_eval,viewers_eval,budget,duration_minutes,season,year,action,animation,arts martiaux,aventure,biopic,bollywood,comédie,comédie dramatique,comédie musicale,divers,drame,epouvante-horreur,erotique,espionnage,expérimental,famille,fantastique,guerre,historique,judiciaire,musical,policier,péplum,romance,science fiction,sport event,thriller,western,stars_producers_director,nombre_acteurs_connus,distributor_important
2900,los reyes del mundo,Colombie,9530,3.8,3.5,29000000.0,111,printemps,2023,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2901,reign of fire,U.S.A.,401688,2.8,2.5,60000000.0,102,été,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,False
2901,reign of fire,U.S.A.,401688,2.8,2.5,60000000.0,102,été,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,False
2902,the wedding crashers,U.S.A.,160761,3.2,2.9,29000000.0,120,été,2005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2902,the wedding crashers,U.S.A.,160761,3.2,2.9,29000000.0,120,été,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,True
2903,gomorra,Italie,140876,4.4,3.4,29000000.0,135,été,2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2903,gomorra,Italie,140876,4.4,3.4,29000000.0,135,été,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,True
2904,le scaphandre et le papillon,France,101785,3.6,3.8,14000020.0,112,printemps,2007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2904,le scaphandre et le papillon,France,101785,3.6,3.8,14000020.0,112,printemps,2007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2905,resident evil,Grande-Bretagne,533300,2.8,2.5,29000000.0,101,printemps,2002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2905,resident evil,Grande-Bretagne,533300,2.8,2.5,29000000.0,101,printemps,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2905,resident evil,Grande-Bretagne,533300,2.8,2.5,29000000.0,101,printemps,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,True
2905,resident evil,Grande-Bretagne,533300,2.8,2.5,29000000.0,101,printemps,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,True
2905,resident evil,Grande-Bretagne,533300,2.8,2.5,29000000.0,101,printemps,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2907,22 jump street,U.S.A.,274341,3.5,3.4,50000000.0,112,été,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
2907,22 jump street,U.S.A.,274341,3.5,3.4,50000000.0,112,été,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
2907,22 jump street,U.S.A.,274341,3.5,3.4,50000000.0,112,été,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,True
2908,les apparences,France,143620,3.2,3.0,29000000.0,110,automne,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,True
2909,chouf,France,120259,3.5,3.4,29000000.0,108,automne,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2910,stronger,U.S.A.,9357,2.6,3.6,30000000.0,119,hiver,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
2910,stronger,U.S.A.,9357,2.6,3.6,30000000.0,119,hiver,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
2913,gyokou no nikuko-chan,Japon,15105,4.0,3.4,29000000.0,97,été,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2913,gyokou no nikuko-chan,Japon,15105,4.0,3.4,29000000.0,97,été,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2914,sin city: a dame to kill for,U.S.A.,185758,2.8,3.5,65000000.0,102,automne,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
2914,sin city: a dame to kill for,U.S.A.,185758,2.8,3.5,65000000.0,102,automne,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,2,True
2914,sin city: a dame to kill for,U.S.A.,185758,2.8,3.5,65000000.0,102,automne,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
2915,zombieland: double tap,U.S.A.,296972,3.1,3.5,42000000.0,99,automne,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
2915,zombieland: double tap,U.S.A.,296972,3.1,3.5,42000000.0,99,automne,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
2915,zombieland: double tap,U.S.A.,296972,3.1,3.5,42000000.0,99,automne,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
2916,peter rabbit,U.S.A.,495488,3.5,3.7,50000000.0,90,printemps,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
2916,peter rabbit,U.S.A.,495488,3.5,3.7,50000000.0,90,printemps,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
2917,unsane,U.S.A.,88704,3.3,3.2,1500000.0,98,été,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,True
